measure_name,sex_name,age_name,cause_name,cityregion,val,population_number
Deaths,Female,10 to 14,All causes,bristol,1.9696966870000636,30256.23100195158
Deaths,Female,10 to 14,Cardiovascular diseases,bristol,0.07548455489171982,30256.23100195158
Deaths,Female,10 to 14,Chronic obstructive pulmonary disease,bristol,0.012433483137981953,30256.23100195158
Deaths,Female,10 to 14,Liver cancer,bristol,0.009241765699585538,30256.23100195158
Deaths,Female,10 to 14,Lower respiratory infections,bristol,0.06373790673135268,30256.23100195158
Deaths,Female,10 to 14,Neoplasms,bristol,0.6266448239817314,30256.23100195158
Deaths,Female,10 to 14,Road injuries,bristol,0.18012409412828423,30256.23100195158
Deaths,Female,10 to 14,Stroke,bristol,0.023513134190586097,30256.23100195158
Deaths,Female,15 to 19,All causes,bristol,6.034158460664331,31688.711941162837
Deaths,Female,15 to 19,Breast cancer,bristol,0.008255112232075394,31688.711941162837
Deaths,Female,15 to 19,Cardiovascular diseases,bristol,0.306022285841652,31688.711941162837
Deaths,Female,15 to 19,Chronic obstructive pulmonary disease,bristol,0.020579728973893437,31688.711941162837
Deaths,Female,15 to 19,Colon and rectum cancer,bristol,0.01100434837415296,31688.711941162837
Deaths,Female,15 to 19,Diabetes mellitus type 2,bristol,0.0045298101873376346,31688.711941162837
Deaths,Female,15 to 19,Ischemic heart disease,bristol,0.019962676321193064,31688.711941162837
Deaths,Female,15 to 19,Liver cancer,bristol,0.0332153798250743,31688.711941162837
Deaths,Female,15 to 19,Lower respiratory infections,bristol,0.12378337491051594,31688.711941162837
Deaths,Female,15 to 19,Neoplasms,bristol,1.2065934466944535,31688.711941162837
Deaths,Female,15 to 19,Road injuries,bristol,0.8947950647370422,31688.711941162837
Deaths,Female,15 to 19,Stomach cancer,bristol,0.005466379547376138,31688.711941162837
Deaths,Female,15 to 19,Stroke,bristol,0.0789552250891847,31688.711941162837
Deaths,Female,15 to 19,"Tracheal, bronchus, and lung cancer",bristol,0.011717896322322497,31688.711941162837
Deaths,Female,15 to 19,Uterine cancer,bristol,0.004310543798230759,31688.711941162837
Deaths,Female,20 to 24,All causes,bristol,7.624073428896756,39138.00890041866
Deaths,Female,20 to 24,Breast cancer,bristol,0.03872715499993663,39138.00890041866
Deaths,Female,20 to 24,Cardiovascular diseases,bristol,0.5305983724468544,39138.00890041866
Deaths,Female,20 to 24,Chronic obstructive pulmonary disease,bristol,0.022962642161739287,39138.00890041866
Deaths,Female,20 to 24,Colon and rectum cancer,bristol,0.04620000826459139,39138.00890041866
Deaths,Female,20 to 24,Diabetes mellitus type 2,bristol,0.005338448911758571,39138.00890041866
Deaths,Female,20 to 24,Ischemic heart disease,bristol,0.04862045633924077,39138.00890041866
Deaths,Female,20 to 24,Liver cancer,bristol,0.03379112170418007,39138.00890041866
Deaths,Female,20 to 24,Lower respiratory infections,bristol,0.1621283461959201,39138.00890041866
Deaths,Female,20 to 24,Neoplasms,bristol,1.4915319863917933,39138.00890041866
Deaths,Female,20 to 24,Road injuries,bristol,0.7860809386028282,39138.00890041866
Deaths,Female,20 to 24,Stomach cancer,bristol,0.015348636087477628,39138.00890041866
Deaths,Female,20 to 24,Stroke,bristol,0.15845815536989588,39138.00890041866
Deaths,Female,20 to 24,"Tracheal, bronchus, and lung cancer",bristol,0.02092932087266043,39138.00890041866
Deaths,Female,20 to 24,Uterine cancer,bristol,0.006233968522984564,39138.00890041866
Deaths,Female,25 to 29,All causes,bristol,10.915989701760349,44163.23258114209
