measure,sex,age,cause,cityregion,number,pop
Deaths,Female,0 to 5,all causes,northeast,31.1729855467526,50751.102922818456
Deaths,Female,0 to 5,cardiovascular diseases,northeast,0.5227880042784455,50751.1029228185
Deaths,Female,0 to 5,chronic myeloid leukemia,northeast,0.008326176775667556,50751.10292281845
Deaths,Female,0 to 5,chronic obstructive pulmonary disease,northeast,0.025721742368619318,50751.10292281851
Deaths,Female,0 to 5,cyclist road injuries,northeast,0.009511849966260236,50751.102922818456
Deaths,Female,0 to 5,kidney cancer,northeast,0.10181498509466914,50751.10292281846
Deaths,Female,0 to 5,liver cancer,northeast,0.050465469732461805,50751.102922818456
Deaths,Female,0 to 5,lower respiratory infections,northeast,1.1392118113456133,50751.102922818485
Deaths,Female,0 to 5,motor vehicle road injuries,northeast,0.12754614498273328,50751.10292281847
Deaths,Female,0 to 5,motorcyclist road injuries,northeast,0.010068397611286632,50751.1029228185
Deaths,Female,0 to 5,neoplasms,northeast,1.4413823804779629,50751.102922818514
Deaths,Female,0 to 5,other road injuries,northeast,0.010241755169392524,50751.10292281852
Deaths,Female,0 to 5,other transport injuries,northeast,0.01794229744418741,50751.102922818485
Deaths,Female,0 to 5,pedestrian road injuries,northeast,0.11823040351613445,50751.10292281848
Deaths,Female,0 to 5,road injuries,northeast,0.27559855124580707,50751.10292281848
Deaths,Female,0 to 5,stroke,northeast,0.07396020674292121,50751.102922818485
Deaths,Female,10 to 14,all causes,northeast,3.657532865536727,53150.287064265525
Deaths,Female,10 to 14,cardiovascular diseases,northeast,0.1522402437719571,53150.28706426554
Deaths,Female,10 to 14,chronic myeloid leukemia,northeast,0.0053673682365262725,53150.28706426555
Deaths,Female,10 to 14,chronic obstructive pulmonary disease,northeast,0.015372641626811455,53150.28706426562
Deaths,Female,10 to 14,colon and rectum cancer,northeast,0.010306201387923066,53150.28706426554
Deaths,Female,10 to 14,cyclist road injuries,northeast,0.03544501156696236,53150.28706426558
Deaths,Female,10 to 14,kidney cancer,northeast,0.03779749742635946,53150.28706426552
Deaths,Female,10 to 14,liver cancer,northeast,0.03858908086705988,53150.28706426555
Deaths,Female,10 to 14,lower respiratory infections,northeast,0.11955396555723605,53150.287064265576
Deaths,Female,10 to 14,motor vehicle road injuries,northeast,0.10711453593204949,53150.28706426555
Deaths,Female,10 to 14,motorcyclist road injuries,northeast,0.010017830280202276,53150.287064265554
Deaths,Female,10 to 14,neoplasms,northeast,1.1330556088238952,53150.287064265605
Deaths,Female,10 to 14,other road injuries,northeast,0.008839047727338636,53150.28706426556
Deaths,Female,10 to 14,other transport injuries,northeast,0.017050400097051846,53150.28706426556
Deaths,Female,10 to 14,pedestrian road injuries,northeast,0.13137772900439865,53150.28706426551
Deaths,Female,10 to 14,road injuries,northeast,0.2927941545109517,53150.28706426562
Deaths,Female,10 to 14,stroke,northeast,0.04833872888325825,53150.287064265554
Deaths,Female,10 to 14,"tracheal, bronchus, and lung cancer",northeast,0.01034680114205333,53150.28706426558
Deaths,Female,15 to 19,all causes,northeast,8.581375261039376,51374.69144985882
Deaths,Female,15 to 19,bladder cancer,northeast,0.005529107064886918,51374.69144985878
Deaths,Female,15 to 19,breast cancer,northeast,0.021148103566190818,51374.69144985882
Deaths,Female,15 to 19,cardiovascular diseases,northeast,0.488269776372108,51374.6914498588
Deaths,Female,15 to 19,chronic myeloid leukemia,northeast,0.008528465157630723,51374.69144985885
Deaths,Female,15 to 19,chronic obstructive pulmonary disease,northeast,0.047240755193921714,51374.69144985886
Deaths,Female,15 to 19,colon and rectum cancer,northeast,0.02456831666867467,51374.69144985884
Deaths,Female,15 to 19,cyclist road injuries,northeast,0.055651539273978215,51374.69144985878
Deaths,Female,15 to 19,diabetes mellitus type 2,northeast,0.01319093779986656,51374.69144985884
Deaths,Female,15 to 19,ischemic heart disease,northeast,0.03620763658247926,51374.691449858845
Deaths,Female,15 to 19,kidney cancer,northeast,0.03556826319811238,51374.69144985889
Deaths,Female,15 to 19,liver cancer,northeast,0.047865303159204405,51374.69144985882
Deaths,Female,15 to 19,lower respiratory infections,northeast,0.20707535466832372,51374.69144985884
Deaths,Female,15 to 19,motor vehicle road injuries,northeast,0.7655620335315085,51374.69144985881
Deaths,Female,15 to 19,motorcyclist road injuries,northeast,0.07820123016696148,51374.69144985884
Deaths,Female,15 to 19,neoplasms,northeast,1.7632170046991964,51374.69144985885
Deaths,Female,15 to 19,other road injuries,northeast,0.02814467169633482,51374.69144985884
Deaths,Female,15 to 19,other transport injuries,northeast,0.04209766662045373,51374.6914498588
Deaths,Female,15 to 19,pedestrian road injuries,northeast,0.286583403319823,51374.69144985887
Deaths,Female,15 to 19,road injuries,northeast,1.2141428779886057,51374.69144985884
Deaths,Female,15 to 19,stomach cancer,northeast,0.008277910549223359,51374.69144985884
