measure,sex,age,cause,cityregion,number,pop
Deaths,Female,0 to 5,all causes,westmidlands,115.5069383135764,95610.74027966666
Deaths,Female,0 to 5,cardiomyopathy and myocarditis,westmidlands,0.6803312524738697,95610.74027966663
Deaths,Female,0 to 5,cardiovascular diseases,westmidlands,1.3635714869154163,95610.7402796666
Deaths,Female,0 to 5,chronic myeloid leukemia,westmidlands,0.014279206536730874,95610.74027966664
Deaths,Female,0 to 5,chronic obstructive pulmonary disease,westmidlands,0.03078673124022247,95610.74027966667
Deaths,Female,0 to 5,cyclist road injuries,westmidlands,0.014342679955736966,95610.74027966658
Deaths,Female,0 to 5,kidney cancer,westmidlands,0.18626964570409138,95610.74027966664
Deaths,Female,0 to 5,liver cancer,westmidlands,0.08764664826925084,95610.74027966663
Deaths,Female,0 to 5,lower respiratory infections,westmidlands,3.422938855636083,95610.74027966661
Deaths,Female,0 to 5,motor vehicle road injuries,westmidlands,0.21499511248084852,95610.74027966666
Deaths,Female,0 to 5,motorcyclist road injuries,westmidlands,0.018257189702640775,95610.7402796666
Deaths,Female,0 to 5,neoplasms,westmidlands,2.7246218833029654,95610.7402796667
Deaths,Female,0 to 5,other road injuries,westmidlands,0.018327746392894296,95610.74027966666
Deaths,Female,0 to 5,other transport injuries,westmidlands,0.030901032873570336,95610.74027966657
Deaths,Female,0 to 5,pedestrian road injuries,westmidlands,0.23248104772226305,95610.74027966663
Deaths,Female,0 to 5,rheumatic heart disease,westmidlands,0.014045140495429473,95610.74027966666
Deaths,Female,0 to 5,road injuries,westmidlands,0.49840377625438353,95610.74027966669
Deaths,Female,0 to 5,stroke,westmidlands,0.15286469910412911,95610.74027966661
Deaths,Female,10 to 14,all causes,westmidlands,7.721002926939342,96105.74012547504
Deaths,Female,10 to 14,cardiomyopathy and myocarditis,westmidlands,0.10679342267013257,96105.74012547517
Deaths,Female,10 to 14,cardiovascular diseases,westmidlands,0.3110890257304779,96105.7401254751
Deaths,Female,10 to 14,chronic myeloid leukemia,westmidlands,0.012981103906497723,96105.74012547509
Deaths,Female,10 to 14,chronic obstructive pulmonary disease,westmidlands,0.02202505700048702,96105.74012547513
Deaths,Female,10 to 14,colon and rectum cancer,westmidlands,0.022887889421598084,96105.74012547513
Deaths,Female,10 to 14,cyclist road injuries,westmidlands,0.055441209626089956,96105.7401254752
Deaths,Female,10 to 14,kidney cancer,westmidlands,0.06645445597992039,96105.74012547519
Deaths,Female,10 to 14,liver cancer,westmidlands,0.07344650119569254,96105.74012547506
Deaths,Female,10 to 14,lower respiratory infections,westmidlands,0.24679051905725988,96105.74012547516
Deaths,Female,10 to 14,motor vehicle road injuries,westmidlands,0.1999167531177396,96105.74012547519
Deaths,Female,10 to 14,motorcyclist road injuries,westmidlands,0.019137277967793333,96105.74012547509
Deaths,Female,10 to 14,neoplasms,westmidlands,2.3004830329737884,96105.74012547515
Deaths,Female,10 to 14,other road injuries,westmidlands,0.01697166233015994,96105.74012547512
Deaths,Female,10 to 14,other transport injuries,westmidlands,0.03326361449278927,96105.74012547522
Deaths,Female,10 to 14,pedestrian road injuries,westmidlands,0.3009225002957764,96105.74012547507
Deaths,Female,10 to 14,rheumatic heart disease,westmidlands,0.008729344965680457,96105.7401254752
Deaths,Female,10 to 14,road injuries,westmidlands,0.5923894033375593,96105.74012547515
Deaths,Female,10 to 14,stroke,westmidlands,0.08702715169684723,96105.74012547519
Deaths,Female,10 to 14,"tracheal, bronchus, and lung cancer",westmidlands,0.015189860999726001,96105.74012547507
Deaths,Female,15 to 19,all causes,westmidlands,15.832849459315174,89329.18678498741
Deaths,Female,15 to 19,bladder cancer,westmidlands,0.009583028065362795,89329.18678498743
Deaths,Female,15 to 19,breast cancer,westmidlands,0.043420537815782374,89329.18678498747
Deaths,Female,15 to 19,cardiomyopathy and myocarditis,westmidlands,0.19948768181258178,89329.18678498728
Deaths,Female,15 to 19,cardiovascular diseases,westmidlands,0.8678134546351904,89329.18678498741
Deaths,Female,15 to 19,chronic myeloid leukemia,westmidlands,0.020253335994575627,89329.18678498738
Deaths,Female,15 to 19,chronic obstructive pulmonary disease,westmidlands,0.0596290138178016,89329.18678498737
Deaths,Female,15 to 19,colon and rectum cancer,westmidlands,0.04626457716343739,89329.18678498748
Deaths,Female,15 to 19,cyclist road injuries,westmidlands,0.0843134666367164,89329.18678498735
Deaths,Female,15 to 19,diabetes mellitus type 2,westmidlands,0.03760458216668455,89329.18678498747
Deaths,Female,15 to 19,ischemic heart disease,westmidlands,0.05721460691569757,89329.18678498741
Deaths,Female,15 to 19,kidney cancer,westmidlands,0.055786067152039605,89329.18678498738
Deaths,Female,15 to 19,liver cancer,westmidlands,0.08725443630238043,89329.18678498741
Deaths,Female,15 to 19,lower respiratory infections,westmidlands,0.37320187159560136,89329.18678498745
Deaths,Female,15 to 19,motor vehicle road injuries,westmidlands,1.3730257898700637,89329.18678498738
Deaths,Female,15 to 19,motorcyclist road injuries,westmidlands,0.13028529730388305,89329.18678498747
Deaths,Female,15 to 19,neoplasms,westmidlands,3.2451283911480115,89329.18678498743
Deaths,Female,15 to 19,non-rheumatic valvular heart disease,westmidlands,0.03821068991850656,89329.18678498732
Deaths,Female,15 to 19,other road injuries,westmidlands,0.04512890647812367,89329.18678498741
Deaths,Female,15 to 19,other transport injuries,westmidlands,0.07264279634692158,89329.18678498743
Deaths,Female,15 to 19,pedestrian road injuries,westmidlands,0.5848936531643527,89329.18678498743
Deaths,Female,15 to 19,rheumatic heart disease,westmidlands,0.01573278090131222,89329.1867849874
Deaths,Female,15 to 19,road injuries,westmidlands,2.2176471134531397,89329.18678498743
Deaths,Female,15 to 19,stomach cancer,westmidlands,0.014694983020956056,89329.18678498745
Deaths,Female,15 to 19,stroke,westmidlands,0.2607299644260403,89329.18678498737
Deaths,Female,15 to 19,"tracheal, bronchus, and lung cancer",westmidlands,0.039837941586202665,89329.18678498737
Deaths,Female,20 to 24,all causes,westmidlands,25.604870908107095,99803.71742893061
Deaths,Female,20 to 24,bladder cancer,westmidlands,0.011872861266771994,99803.71742893066
Deaths,Female,20 to 24,breast cancer,westmidlands,0.18078521329665523,99803.71742893061
Deaths,Female,20 to 24,cardiomyopathy and myocarditis,westmidlands,0.32516959099244,99803.71742893064
Deaths,Female,20 to 24,cardiovascular diseases,westmidlands,1.8675540742183445,99803.71742893061
Deaths,Female,20 to 24,chronic myeloid leukemia,westmidlands,0.032367883083939536,99803.71742893048
Deaths,Female,20 to 24,chronic obstructive pulmonary disease,westmidlands,0.10708135742824516,99803.71742893061
Deaths,Female,20 to 24,colon and rectum cancer,westmidlands,0.19476063893368079,99803.71742893063
Deaths,Female,20 to 24,cyclist road injuries,westmidlands,0.08273843998729827,99803.71742893067
Deaths,Female,20 to 24,diabetes mellitus type 2,westmidlands,0.08594978912638246,99803.7174289306
Deaths,Female,20 to 24,esophageal cancer,westmidlands,0.0277198783855258,99803.7174289306
Deaths,Female,20 to 24,ischemic heart disease,westmidlands,0.18546929596244,99803.71742893047
Deaths,Female,20 to 24,kidney cancer,westmidlands,0.08841536196342675,99803.71742893063
Deaths,Female,20 to 24,liver cancer,westmidlands,0.13934851110390953,99803.7174289306
Deaths,Female,20 to 24,lower respiratory infections,westmidlands,0.6275554252727671,99803.7174289307
Deaths,Female,20 to 24,motor vehicle road injuries,westmidlands,1.523424149818334,99803.71742893063
Deaths,Female,20 to 24,motorcyclist road injuries,westmidlands,0.1514942400153965,99803.7174289306
Deaths,Female,20 to 24,multiple myeloma,westmidlands,0.006999049933951522,99803.71742893064
Deaths,Female,20 to 24,neoplasms,westmidlands,5.291412545377823,99803.71742893054
Deaths,Female,20 to 24,non-rheumatic valvular heart disease,westmidlands,0.07118940633458251,99803.7174289306
Deaths,Female,20 to 24,other road injuries,westmidlands,0.05761628267212878,99803.71742893069
Deaths,Female,20 to 24,other transport injuries,westmidlands,0.09313745602826083,99803.7174289306
Deaths,Female,20 to 24,parkinson's disease,westmidlands,0.001519287728248403,99803.71742893058
Deaths,Female,20 to 24,pedestrian road injuries,westmidlands,0.5544966796966818,99803.71742893064
Deaths,Female,20 to 24,rheumatic heart disease,westmidlands,0.04190866811871571,99803.7174289305
Deaths,Female,20 to 24,road injuries,westmidlands,2.369769792189838,99803.71742893055
Deaths,Female,20 to 24,stomach cancer,westmidlands,0.06352878199881459,99803.71742893051
Deaths,Female,20 to 24,stroke,westmidlands,0.6370885069320872,99803.71742893054
Deaths,Female,20 to 24,"tracheal, bronchus, and lung cancer",westmidlands,0.09576245067795837,99803.71742893054
Deaths,Female,20 to 24,uterine cancer,westmidlands,0.014628951189483343,99803.71742893074
Deaths,Female,25 to 29,all causes,westmidlands,32.741081716963286,109685.50737187515
Deaths,Female,25 to 29,bladder cancer,westmidlands,0.04035297911515551,109685.50737187506
Deaths,Female,25 to 29,breast cancer,westmidlands,1.5410854183828728,109685.50737187502
Deaths,Female,25 to 29,cardiomyopathy and myocarditis,westmidlands,0.4428037402553925,109685.50737187506
Deaths,Female,25 to 29,cardiovascular diseases,westmidlands,3.2812602685784715,109685.5073718751
Deaths,Female,25 to 29,chronic myeloid leukemia,westmidlands,0.04682117256247069,109685.50737187518
Deaths,Female,25 to 29,chronic obstructive pulmonary disease,westmidlands,0.1598626631651234,109685.50737187515
Deaths,Female,25 to 29,colon and rectum cancer,westmidlands,0.5991425028383649,109685.50737187502
Deaths,Female,25 to 29,cyclist road injuries,westmidlands,0.06551796609326152,109685.5073718751
Deaths,Female,25 to 29,diabetes mellitus type 2,westmidlands,0.13709302555889982,109685.50737187512
Deaths,Female,25 to 29,esophageal cancer,westmidlands,0.08123813599945992,109685.507371875
Deaths,Female,25 to 29,ischemic heart disease,westmidlands,0.462265546163712,109685.50737187515
Deaths,Female,25 to 29,kidney cancer,westmidlands,0.1357757526135188,109685.50737187515
Deaths,Female,25 to 29,liver cancer,westmidlands,0.23451346816759666,109685.50737187512
Deaths,Female,25 to 29,lower respiratory infections,westmidlands,0.8243839973241764,109685.50737187511
Deaths,Female,25 to 29,motor vehicle road injuries,westmidlands,1.0602953595565627,109685.50737187506
