measure,sex,age,cause,cityregion,number,pop
Deaths,Female,0 to 5,all causes,greatermanchester,80.9302951834489,89404.8407527445
Deaths,Female,0 to 5,cardiovascular diseases,greatermanchester,1.2725631331980853,89404.84075274448
Deaths,Female,0 to 5,chronic myeloid leukemia,greatermanchester,0.015474857473072375,89404.8407527445
Deaths,Female,0 to 5,chronic obstructive pulmonary disease,greatermanchester,0.05546099388720468,89404.84075274451
Deaths,Female,0 to 5,cyclist road injuries,greatermanchester,0.016931285018441402,89404.84075274452
Deaths,Female,0 to 5,kidney cancer,greatermanchester,0.19697927233985604,89404.8407527446
Deaths,Female,0 to 5,liver cancer,greatermanchester,0.0839148599697333,89404.84075274445
Deaths,Female,0 to 5,lower respiratory infections,greatermanchester,2.84776149076064,89404.84075274448
Deaths,Female,0 to 5,motor vehicle road injuries,greatermanchester,0.2137241223820192,89404.84075274457
Deaths,Female,0 to 5,motorcyclist road injuries,greatermanchester,0.017028007134139378,89404.84075274451
Deaths,Female,0 to 5,neoplasms,greatermanchester,2.7397244391463693,89404.84075274455
Deaths,Female,0 to 5,other road injuries,greatermanchester,0.017073316699839036,89404.8407527445
Deaths,Female,0 to 5,other transport injuries,greatermanchester,0.03137584353916084,89404.84075274451
Deaths,Female,0 to 5,pedestrian road injuries,greatermanchester,0.2647454219628395,89404.8407527445
Deaths,Female,0 to 5,road injuries,greatermanchester,0.5295021531972787,89404.84075274457
Deaths,Female,0 to 5,stroke,greatermanchester,0.1662142047516794,89404.8407527445
Deaths,Female,10 to 14,all causes,greatermanchester,7.316961306439465,88733.34182881413
Deaths,Female,10 to 14,cardiovascular diseases,greatermanchester,0.3235710836564933,88733.34182881407
Deaths,Female,10 to 14,chronic myeloid leukemia,greatermanchester,0.010844790525467772,88733.34182881411
Deaths,Female,10 to 14,chronic obstructive pulmonary disease,greatermanchester,0.035228110494519634,88733.34182881413
Deaths,Female,10 to 14,colon and rectum cancer,greatermanchester,0.02159143097820101,88733.3418288141
Deaths,Female,10 to 14,cyclist road injuries,greatermanchester,0.0622476124130164,88733.34182881407
Deaths,Female,10 to 14,kidney cancer,greatermanchester,0.06903677523168211,88733.3418288141
Deaths,Female,10 to 14,liver cancer,greatermanchester,0.07175705544043391,88733.3418288142
Deaths,Female,10 to 14,lower respiratory infections,greatermanchester,0.2470376574823601,88733.34182881407
Deaths,Female,10 to 14,motor vehicle road injuries,greatermanchester,0.19207858528154081,88733.34182881417
Deaths,Female,10 to 14,motorcyclist road injuries,greatermanchester,0.016191532137960787,88733.34182881413
Deaths,Female,10 to 14,neoplasms,greatermanchester,2.1517525550507375,88733.34182881413
Deaths,Female,10 to 14,other road injuries,greatermanchester,0.013329376783335999,88733.34182881414
Deaths,Female,10 to 14,other transport injuries,greatermanchester,0.032149008448984225,88733.34182881405
