measure,sex,age,cause,cityregion,number,pop
Deaths,Female,0 to 5,all causes,sheffield,30.65401955615579,40141.64807808504
Deaths,Female,0 to 5,cardiomyopathy and myocarditis,sheffield,0.19840943968184027,40141.64807808503
Deaths,Female,0 to 5,cardiovascular diseases,sheffield,0.4566243841937816,40141.648078085054
Deaths,Female,0 to 5,chronic myeloid leukemia,sheffield,0.0051167631455026775,40141.648078084996
Deaths,Female,0 to 5,chronic obstructive pulmonary disease,sheffield,0.01509072248767809,40141.64807808504
Deaths,Female,0 to 5,cyclist road injuries,sheffield,0.006041655744324416,40141.648078085025
Deaths,Female,0 to 5,kidney cancer,sheffield,0.08027355644471987,40141.64807808503
Deaths,Female,0 to 5,liver cancer,sheffield,0.03357750809370415,40141.648078085025
Deaths,Female,0 to 5,lower respiratory infections,sheffield,1.0564214358367756,40141.648078085025
Deaths,Female,0 to 5,motor vehicle road injuries,sheffield,0.08158007825880402,40141.648078084996
Deaths,Female,0 to 5,motorcyclist road injuries,sheffield,0.007127704225669153,40141.64807808507
Deaths,Female,0 to 5,neoplasms,sheffield,1.0562924444392787,40141.64807808499
Deaths,Female,0 to 5,other road injuries,sheffield,0.007086159389395339,40141.64807808507
Deaths,Female,0 to 5,other transport injuries,sheffield,0.015069921969057995,40141.64807808503
Deaths,Female,0 to 5,pedestrian road injuries,sheffield,0.08040139027266363,40141.64807808504
Deaths,Female,0 to 5,rheumatic heart disease,sheffield,0.006620725868215179,40141.64807808502
Deaths,Female,0 to 5,road injuries,sheffield,0.18223698789085657,40141.64807808501
Deaths,Female,0 to 5,stroke,sheffield,0.057016673639575216,40141.64807808505
Deaths,Female,10 to 14,all causes,sheffield,4.855130405878621,41331.92524367604
Deaths,Female,10 to 14,cardiomyopathy and myocarditis,sheffield,0.06083986506734858,41331.92524367606
Deaths,Female,10 to 14,cardiovascular diseases,sheffield,0.22137093491687865,41331.92524367602
Deaths,Female,10 to 14,chronic myeloid leukemia,sheffield,0.00935001323546945,41331.925243676
Deaths,Female,10 to 14,chronic obstructive pulmonary disease,sheffield,0.016845197283224856,41331.925243676014
Deaths,Female,10 to 14,colon and rectum cancer,sheffield,0.015607449335235744,41331.92524367606
Deaths,Female,10 to 14,cyclist road injuries,sheffield,0.041608148879225135,41331.925243676
Deaths,Female,10 to 14,kidney cancer,sheffield,0.050273635016793015,41331.92524367603
Deaths,Female,10 to 14,liver cancer,sheffield,0.03924201273395096,41331.92524367602
Deaths,Female,10 to 14,lower respiratory infections,sheffield,0.16756831588603907,41331.92524367599
Deaths,Female,10 to 14,motor vehicle road injuries,sheffield,0.13103713339497056,41331.925243676036
Deaths,Female,10 to 14,motorcyclist road injuries,sheffield,0.01746415700982429,41331.925243676014
Deaths,Female,10 to 14,neoplasms,sheffield,1.4373029769465013,41331.92524367597
Deaths,Female,10 to 14,other road injuries,sheffield,0.013736347750286695,41331.92524367601
Deaths,Female,10 to 14,other transport injuries,sheffield,0.03336002424523636,41331.92524367601
Deaths,Female,10 to 14,pedestrian road injuries,sheffield,0.2021418412649199,41331.92524367609
Deaths,Female,10 to 14,rheumatic heart disease,sheffield,0.006462623094338106,41331.92524367597
Deaths,Female,10 to 14,road injuries,sheffield,0.40598762829922613,41331.925243676
Deaths,Female,10 to 14,stroke,sheffield,0.06928055204989628,41331.92524367599
Deaths,Female,10 to 14,"tracheal, bronchus, and lung cancer",sheffield,0.009621544927023523,41331.925243676
Deaths,Female,15 to 19,all causes,sheffield,6.217492478156371,39699.04640156173
Deaths,Female,15 to 19,bladder cancer,sheffield,0.004087709120749658,39699.046401561776
Deaths,Female,15 to 19,breast cancer,sheffield,0.01671233029158413,39699.046401561725
Deaths,Female,15 to 19,cardiomyopathy and myocarditis,sheffield,0.06613482751409454,39699.04640156174
