measure,sex,age,cause,cityregion,number,pop
Deaths,Female,0 to 5,all causes,bristol,18.99264868794096,33114.41850991765
Deaths,Female,0 to 5,cardiovascular diseases,bristol,0.26044861692468224,33114.41850991761
Deaths,Female,0 to 5,chronic myeloid leukemia,bristol,0.004675672398033495,33114.41850991769
Deaths,Female,0 to 5,chronic obstructive pulmonary disease,bristol,0.006291856275345389,33114.41850991765
Deaths,Female,0 to 5,cyclist road injuries,bristol,0.006654589389417608,33114.41850991761
Deaths,Female,0 to 5,kidney cancer,bristol,0.054301471497332915,33114.4185099176
Deaths,Female,0 to 5,liver cancer,bristol,0.02528875860601292,33114.41850991767
Deaths,Female,0 to 5,lower respiratory infections,bristol,0.593082240263686,33114.41850991762
Deaths,Female,0 to 5,motor vehicle road injuries,bristol,0.07939004122903671,33114.41850991764
Deaths,Female,0 to 5,motorcyclist road injuries,bristol,0.0064214228304937115,33114.418509917654
Deaths,Female,0 to 5,neoplasms,bristol,0.8216095541125769,33114.41850991764
Deaths,Female,0 to 5,other road injuries,bristol,0.006862065198713472,33114.41850991767
Deaths,Female,0 to 5,other transport injuries,bristol,0.009711111424260954,33114.418509917596
Deaths,Female,0 to 5,pedestrian road injuries,bristol,0.048388366336611206,33114.41850991762
Deaths,Female,0 to 5,road injuries,bristol,0.14771648498427264,33114.41850991762
Deaths,Female,0 to 5,stroke,bristol,0.02346576319020537,33114.41850991768
Deaths,Female,10 to 14,all causes,bristol,2.407274952085973,31643.657702649958
Deaths,Female,10 to 14,cardiovascular diseases,bristol,0.0939746157650528,31643.657702650013
Deaths,Female,10 to 14,chronic myeloid leukemia,bristol,0.004549451949632634,31643.65770264996
Deaths,Female,10 to 14,chronic obstructive pulmonary disease,bristol,0.0063461307861183945,31643.657702649987
Deaths,Female,10 to 14,colon and rectum cancer,bristol,0.007362037316144672,31643.657702649973
Deaths,Female,10 to 14,cyclist road injuries,bristol,0.02833037572108267,31643.657702649976
Deaths,Female,10 to 14,kidney cancer,bristol,0.023701051192729954,31643.657702649998
Deaths,Female,10 to 14,liver cancer,bristol,0.02362998597067828,31643.657702649954
Deaths,Female,10 to 14,lower respiratory infections,bristol,0.0705860397091968,31643.657702649994
