measure,sex,age,cause,cityregion,number,pop
Deaths,Female,0 to 5,all causes,liverpool,36.13675704716034,42600.23774630017
Deaths,Female,0 to 5,cardiovascular diseases,liverpool,0.47388016980434966,42600.23774630015
Deaths,Female,0 to 5,chronic myeloid leukemia,liverpool,0.0053500756692175105,42600.2377463001
Deaths,Female,0 to 5,chronic obstructive pulmonary disease,liverpool,0.02217994935287928,42600.23774630012
Deaths,Female,0 to 5,cyclist road injuries,liverpool,0.007678656293079678,42600.237746300125
Deaths,Female,0 to 5,kidney cancer,liverpool,0.07786148020420519,42600.23774630012
Deaths,Female,0 to 5,liver cancer,liverpool,0.03521800289083036,42600.23774630017
Deaths,Female,0 to 5,lower respiratory infections,liverpool,1.309382142363503,42600.23774630014
Deaths,Female,0 to 5,motor vehicle road injuries,liverpool,0.0867111528550683,42600.2377463001
Deaths,Female,0 to 5,motorcyclist road injuries,liverpool,0.007590117543662031,42600.23774630008
Deaths,Female,0 to 5,neoplasms,liverpool,1.1118485590618983,42600.23774630015
Deaths,Female,0 to 5,other road injuries,liverpool,0.00732220268239479,42600.237746300074
Deaths,Female,0 to 5,other transport injuries,liverpool,0.014094293492515566,42600.23774630008
Deaths,Female,0 to 5,pedestrian road injuries,liverpool,0.09244046539731661,42600.23774630013
Deaths,Female,0 to 5,road injuries,liverpool,0.2017425947715215,42600.23774630015
Deaths,Female,0 to 5,stroke,liverpool,0.05350982618318642,42600.23774630012
Deaths,Female,10 to 14,all causes,liverpool,3.209333081966892,42370.57562640431
Deaths,Female,10 to 14,cardiovascular diseases,liverpool,0.1341082351097576,42370.57562640433
Deaths,Female,10 to 14,chronic myeloid leukemia,liverpool,0.004220794316726902,42370.57562640434
Deaths,Female,10 to 14,chronic obstructive pulmonary disease,liverpool,0.016635396254262347,42370.57562640433
Deaths,Female,10 to 14,colon and rectum cancer,liverpool,0.009702495244960785,42370.575626404316
Deaths,Female,10 to 14,cyclist road injuries,liverpool,0.028912649697506194,42370.57562640431
Deaths,Female,10 to 14,kidney cancer,liverpool,0.030527086566961674,42370.575626404374
Deaths,Female,10 to 14,liver cancer,liverpool,0.03140473373249987,42370.57562640436
Deaths,Female,10 to 14,lower respiratory infections,liverpool,0.12290839694388579,42370.5756264043
Deaths,Female,10 to 14,motor vehicle road injuries,liverpool,0.08497647274548692,42370.575626404345
Deaths,Female,10 to 14,motorcyclist road injuries,liverpool,0.008530032940731257,42370.57562640432
Deaths,Female,10 to 14,neoplasms,liverpool,0.9611132723061605,42370.575626404396
Deaths,Female,10 to 14,other road injuries,liverpool,0.005260734413253861,42370.575626404374
Deaths,Female,10 to 14,other transport injuries,liverpool,0.014707226220309316,42370.57562640434
Deaths,Female,10 to 14,pedestrian road injuries,liverpool,0.12742602489898014,42370.57562640435
Deaths,Female,10 to 14,road injuries,liverpool,0.2551059146959581,42370.5756264043
Deaths,Female,10 to 14,stroke,liverpool,0.035482992983245594,42370.57562640434
Deaths,Female,10 to 14,"tracheal, bronchus, and lung cancer",liverpool,0.008928661677523857,42370.575626404345
Deaths,Female,15 to 19,all causes,liverpool,8.064405020808852,40925.52262052151
Deaths,Female,15 to 19,bladder cancer,liverpool,0.004449279810431821,40925.52262052147
Deaths,Female,15 to 19,breast cancer,liverpool,0.02120079976823497,40925.52262052148
Deaths,Female,15 to 19,cardiovascular diseases,liverpool,0.4658924176227607,40925.52262052149
Deaths,Female,15 to 19,chronic myeloid leukemia,liverpool,0.009597868830583152,40925.52262052145
Deaths,Female,15 to 19,chronic obstructive pulmonary disease,liverpool,0.057163738514786455,40925.52262052146
Deaths,Female,15 to 19,colon and rectum cancer,liverpool,0.025614134204564026,40925.52262052149
Deaths,Female,15 to 19,cyclist road injuries,liverpool,0.04597907613413966,40925.522620521486
Deaths,Female,15 to 19,diabetes mellitus type 2,liverpool,0.013372252367692228,40925.52262052145
Deaths,Female,15 to 19,ischemic heart disease,liverpool,0.03401457403324932,40925.5226205215
Deaths,Female,15 to 19,kidney cancer,liverpool,0.029168567352177505,40925.52262052148
Deaths,Female,15 to 19,liver cancer,liverpool,0.03964972087215907,40925.52262052145
Deaths,Female,15 to 19,lower respiratory infections,liverpool,0.22971613576836308,40925.52262052147
Deaths,Female,15 to 19,motor vehicle road injuries,liverpool,0.6405679473472328,40925.52262052147
Deaths,Female,15 to 19,motorcyclist road injuries,liverpool,0.07513951622622331,40925.52262052148
Deaths,Female,15 to 19,neoplasms,liverpool,1.5829758508888265,40925.52262052147
Deaths,Female,15 to 19,other road injuries,liverpool,0.017198953562617,40925.522620521486
Deaths,Female,15 to 19,other transport injuries,liverpool,0.037771735564059605,40925.52262052146
Deaths,Female,15 to 19,pedestrian road injuries,liverpool,0.327333352777039,40925.522620521464
Deaths,Female,15 to 19,road injuries,liverpool,1.1062188460472522,40925.522620521486
Deaths,Female,15 to 19,stomach cancer,liverpool,0.00809126480568896,40925.52262052148
Deaths,Female,15 to 19,stroke,liverpool,0.13916781826049093,40925.52262052151
Deaths,Female,15 to 19,"tracheal, bronchus, and lung cancer",liverpool,0.02716472984834797,40925.5226205215
Deaths,Female,20 to 24,all causes,liverpool,9.580085936212907,47195.360632320044
Deaths,Female,20 to 24,bladder cancer,liverpool,0.005993049263797437,47195.36063231999
Deaths,Female,20 to 24,breast cancer,liverpool,0.060190526708129855,47195.36063232007
Deaths,Female,20 to 24,cardiovascular diseases,liverpool,0.6677804514667077,47195.36063232002
Deaths,Female,20 to 24,chronic myeloid leukemia,liverpool,0.00811288294195699,47195.36063232003
Deaths,Female,20 to 24,chronic obstructive pulmonary disease,liverpool,0.07179412488518748,47195.360632320044
Deaths,Female,20 to 24,colon and rectum cancer,liverpool,0.07092486311932554,47195.36063232003
Deaths,Female,20 to 24,cyclist road injuries,liverpool,0.036285890858633874,47195.36063232004
Deaths,Female,20 to 24,diabetes mellitus type 2,liverpool,0.02055845160905355,47195.36063232007
Deaths,Female,20 to 24,esophageal cancer,liverpool,0.011864671392636295,47195.360632320095
Deaths,Female,20 to 24,ischemic heart disease,liverpool,0.06885274438747385,47195.360632320044
Deaths,Female,20 to 24,kidney cancer,liverpool,0.036944707992518915,47195.36063232001
Deaths,Female,20 to 24,liver cancer,liverpool,0.05372073069758895,47195.36063232005
Deaths,Female,20 to 24,lower respiratory infections,liverpool,0.2722742675397216,47195.36063232012
Deaths,Female,20 to 24,motor vehicle road injuries,liverpool,0.5788541266446097,47195.360632320095
Deaths,Female,20 to 24,motorcyclist road injuries,liverpool,0.05667972602841191,47195.3606323201
Deaths,Female,20 to 24,multiple myeloma,liverpool,0.0029919279962294133,47195.36063232002
Deaths,Female,20 to 24,neoplasms,liverpool,2.0303425705333904,47195.36063232004
Deaths,Female,20 to 24,other road injuries,liverpool,0.01410363460353146,47195.360632320044
Deaths,Female,20 to 24,other transport injuries,liverpool,0.03479866530765393,47195.36063232009
Deaths,Female,20 to 24,parkinson's disease,liverpool,5.149177302542373e-4,47195.36063232006
Deaths,Female,20 to 24,pedestrian road injuries,liverpool,0.1888209571352862,47195.36063232004
Deaths,Female,20 to 24,road injuries,liverpool,0.8747443352704725,47195.360632320044
Deaths,Female,20 to 24,stomach cancer,liverpool,0.023302471351210635,47195.36063232001
Deaths,Female,20 to 24,stroke,liverpool,0.21204127847333598,47195.36063232008
Deaths,Female,20 to 24,"tracheal, bronchus, and lung cancer",liverpool,0.05302572918848694,47195.36063232008
Deaths,Female,20 to 24,uterine cancer,liverpool,0.005675428997208263,47195.36063231996
Deaths,Female,25 to 29,all causes,liverpool,14.948855459961452,52876.405045237094
Deaths,Female,25 to 29,bladder cancer,liverpool,0.02024515479210609,52876.405045237014
Deaths,Female,25 to 29,breast cancer,liverpool,0.6117963248613194,52876.40504523706
Deaths,Female,25 to 29,cardiovascular diseases,liverpool,1.4492269373419548,52876.40504523704
Deaths,Female,25 to 29,chronic myeloid leukemia,liverpool,0.017144799343718625,52876.40504523709
Deaths,Female,25 to 29,chronic obstructive pulmonary disease,liverpool,0.12124455885969183,52876.405045237094
Deaths,Female,25 to 29,colon and rectum cancer,liverpool,0.268939380170911,52876.40504523708
Deaths,Female,25 to 29,cyclist road injuries,liverpool,0.031544546842918485,52876.40504523708
Deaths,Female,25 to 29,diabetes mellitus type 2,liverpool,0.04070018731751994,52876.40504523699
Deaths,Female,25 to 29,esophageal cancer,liverpool,0.038106903647483106,52876.40504523705
Deaths,Female,25 to 29,ischemic heart disease,liverpool,0.2184531079714681,52876.40504523707
Deaths,Female,25 to 29,kidney cancer,liverpool,0.06445339268642432,52876.40504523704
Deaths,Female,25 to 29,liver cancer,liverpool,0.10012834091392767,52876.405045237
Deaths,Female,25 to 29,lower respiratory infections,liverpool,0.4404725559117586,52876.405045237094
Deaths,Female,25 to 29,motor vehicle road injuries,liverpool,0.45211726478588826,52876.40504523706
Deaths,Female,25 to 29,motorcyclist road injuries,liverpool,0.044753575916198766,52876.40504523706
Deaths,Female,25 to 29,multiple myeloma,liverpool,0.006279913763780979,52876.405045237116
Deaths,Female,25 to 29,neoplasms,liverpool,4.180212626181034,52876.40504523705
Deaths,Female,25 to 29,other road injuries,liverpool,0.012903976571712007,52876.40504523706
Deaths,Female,25 to 29,other transport injuries,liverpool,0.03705803609251137,52876.40504523706
Deaths,Female,25 to 29,parkinson's disease,liverpool,3.23975049649846e-4,52876.40504523708
Deaths,Female,25 to 29,pedestrian road injuries,liverpool,0.1497256950764921,52876.40504523711
Deaths,Female,25 to 29,road injuries,liverpool,0.69104505919321,52876.405045237094
Deaths,Female,25 to 29,stomach cancer,liverpool,0.09874760913363462,52876.405045237014
Deaths,Female,25 to 29,stroke,liverpool,0.5166059577747198,52876.40504523709
Deaths,Female,25 to 29,"tracheal, bronchus, and lung cancer",liverpool,0.18971164764864432,52876.40504523704
Deaths,Female,25 to 29,uterine cancer,liverpool,0.020444273321926804,52876.40504523708
Deaths,Female,30 to 34,all causes,liverpool,26.889532358621853,54970.38408381127
Deaths,Female,30 to 34,bladder cancer,liverpool,0.07792563079787265,54970.384083811325
Deaths,Female,30 to 34,breast cancer,liverpool,2.538336590684803,54970.38408381131
Deaths,Female,30 to 34,cardiovascular diseases,liverpool,2.8923893613631857,54970.38408381135
Deaths,Female,30 to 34,chronic myeloid leukemia,liverpool,0.026486072026372976,54970.3840838113
Deaths,Female,30 to 34,chronic obstructive pulmonary disease,liverpool,0.23514296817980146,54970.38408381136
Deaths,Female,30 to 34,colon and rectum cancer,liverpool,0.701155447767176,54970.38408381133
Deaths,Female,30 to 34,cyclist road injuries,liverpool,0.029330661826391494,54970.38408381133
Deaths,Female,30 to 34,diabetes mellitus type 2,liverpool,0.12245222692972531,54970.38408381133
Deaths,Female,30 to 34,esophageal cancer,liverpool,0.08986630614428617,54970.3840838113
Deaths,Female,30 to 34,ischemic heart disease,liverpool,0.7033121505860302,54970.38408381129
Deaths,Female,30 to 34,kidney cancer,liverpool,0.13522262733657395,54970.38408381129
Deaths,Female,30 to 34,liver cancer,liverpool,0.1856515463345207,54970.384083811325
Deaths,Female,30 to 34,lower respiratory infections,liverpool,0.7365440559553814,54970.38408381133
Deaths,Female,30 to 34,motor vehicle road injuries,liverpool,0.38069100395591454,54970.38408381136
Deaths,Female,30 to 34,motorcyclist road injuries,liverpool,0.04457392371050397,54970.384083811296
Deaths,Female,30 to 34,multiple myeloma,liverpool,0.024023081271099207,54970.38408381133
Deaths,Female,30 to 34,neoplasms,liverpool,9.3930121645433,54970.384083811354
Deaths,Female,30 to 34,other road injuries,liverpool,0.012185880987467727,54970.38408381135
Deaths,Female,30 to 34,other transport injuries,liverpool,0.035932786415349034,54970.38408381132
Deaths,Female,30 to 34,parkinson's disease,liverpool,0.0010979629077684729,54970.3840838113
Deaths,Female,30 to 34,pedestrian road injuries,liverpool,0.1483454728466873,54970.38408381128
Deaths,Female,30 to 34,road injuries,liverpool,0.6151269433269649,54970.3840838113
Deaths,Female,30 to 34,stomach cancer,liverpool,0.2825354536823857,54970.384083811296
Deaths,Female,30 to 34,stroke,liverpool,1.0065309671512943,54970.38408381126
Deaths,Female,30 to 34,"tracheal, bronchus, and lung cancer",liverpool,0.6779765354165909,54970.384083811325
Deaths,Female,30 to 34,uterine cancer,liverpool,0.055314982101935514,54970.38408381138
Deaths,Female,35 to 39,all causes,liverpool,45.39634816736135,49851.48407251796
Deaths,Female,35 to 39,bladder cancer,liverpool,0.1625802188581643,49851.48407251804
Deaths,Female,35 to 39,breast cancer,liverpool,5.375376325927184,49851.484072517924
Deaths,Female,35 to 39,cardiovascular diseases,liverpool,5.547193400467156,49851.48407251793
Deaths,Female,35 to 39,chronic myeloid leukemia,liverpool,0.04513397399826863,49851.484072518004
Deaths,Female,35 to 39,chronic obstructive pulmonary disease,liverpool,0.4857593528645215,49851.48407251794
Deaths,Female,35 to 39,colon and rectum cancer,liverpool,1.3389673389371937,49851.484072517946
Deaths,Female,35 to 39,cyclist road injuries,liverpool,0.03126972681582086,49851.48407251798
Deaths,Female,35 to 39,diabetes mellitus type 2,liverpool,0.19387121422517173,49851.48407251795
Deaths,Female,35 to 39,esophageal cancer,liverpool,0.21095423489879975,49851.48407251796
Deaths,Female,35 to 39,ischemic heart disease,liverpool,1.7552097807940386,49851.484072517895
Deaths,Female,35 to 39,kidney cancer,liverpool,0.2500885739522848,49851.48407251793
Deaths,Female,35 to 39,liver cancer,liverpool,0.2770739272438217,49851.48407251793
Deaths,Female,35 to 39,lower respiratory infections,liverpool,1.2780580597590023,49851.48407251799
Deaths,Female,35 to 39,motor vehicle road injuries,liverpool,0.38613258125198174,49851.48407251797
Deaths,Female,35 to 39,motorcyclist road injuries,liverpool,0.050185442748768745,49851.48407251797
Deaths,Female,35 to 39,multiple myeloma,liverpool,0.07182647893808736,49851.48407251794
Deaths,Female,35 to 39,neoplasms,liverpool,17.314304745865833,49851.48407251796
Deaths,Female,35 to 39,other road injuries,liverpool,0.014816865953754928,49851.48407251792
Deaths,Female,35 to 39,other transport injuries,liverpool,0.040525398582092385,49851.48407251798
Deaths,Female,35 to 39,parkinson's disease,liverpool,0.004527866239374154,49851.48407251795
Deaths,Female,35 to 39,pedestrian road injuries,liverpool,0.20268451479944508,49851.48407251801
Deaths,Female,35 to 39,road injuries,liverpool,0.6850891315697718,49851.484072518026
Deaths,Female,35 to 39,stomach cancer,liverpool,0.5306718196815309,49851.48407251794
Deaths,Female,35 to 39,stroke,liverpool,1.9310216176600632,49851.48407251793
Deaths,Female,35 to 39,"tracheal, bronchus, and lung cancer",liverpool,1.5653086024732041,49851.48407251794
Deaths,Female,35 to 39,uterine cancer,liverpool,0.12443849119792276,49851.48407251793
Deaths,Female,40 to 44,all causes,liverpool,68.28799819957538,44128.07658526383
Deaths,Female,40 to 44,alzheimer's disease and other dementias,liverpool,0.049903581564291824,44128.07658526383
Deaths,Female,40 to 44,bladder cancer,liverpool,0.32500354040306334,44128.07658526382
Deaths,Female,40 to 44,breast cancer,liverpool,8.637962298069665,44128.07658526382
Deaths,Female,40 to 44,cardiovascular diseases,liverpool,9.144202550241278,44128.076585263814
Deaths,Female,40 to 44,chronic myeloid leukemia,liverpool,0.05378282417861276,44128.07658526382
Deaths,Female,40 to 44,chronic obstructive pulmonary disease,liverpool,1.0375600195011385,44128.07658526385
Deaths,Female,40 to 44,colon and rectum cancer,liverpool,2.3569067302521987,44128.0765852638
Deaths,Female,40 to 44,cyclist road injuries,liverpool,0.03300104811640786,44128.07658526384
Deaths,Female,40 to 44,diabetes mellitus type 2,liverpool,0.2826893565776844,44128.07658526383
Deaths,Female,40 to 44,esophageal cancer,liverpool,0.4345633342069076,44128.07658526381
Deaths,Female,40 to 44,ischemic heart disease,liverpool,3.2123658037645226,44128.07658526381
Deaths,Female,40 to 44,kidney cancer,liverpool,0.43763259767963564,44128.076585263785
Deaths,Female,40 to 44,liver cancer,liverpool,0.4744044613004038,44128.076585263785
Deaths,Female,40 to 44,lower respiratory infections,liverpool,1.9548616191081818,44128.07658526381
Deaths,Female,40 to 44,motor vehicle road injuries,liverpool,0.4179948786777848,44128.076585263814
Deaths,Female,40 to 44,motorcyclist road injuries,liverpool,0.05013285324909336,44128.076585263785
Deaths,Female,40 to 44,multiple myeloma,liverpool,0.16113786745223943,44128.07658526378
Deaths,Female,40 to 44,neoplasms,liverpool,28.13261434983212,44128.07658526379
Deaths,Female,40 to 44,other road injuries,liverpool,0.014548029948196765,44128.076585263814
Deaths,Female,40 to 44,other transport injuries,liverpool,0.04119006020463258,44128.0765852638
Deaths,Female,40 to 44,parkinson's disease,liverpool,0.031893143177838666,44128.076585263785
Deaths,Female,40 to 44,pedestrian road injuries,liverpool,0.2567521052321633,44128.076585263785
Deaths,Female,40 to 44,road injuries,liverpool,0.7724289152236459,44128.07658526378
Deaths,Female,40 to 44,stomach cancer,liverpool,0.9191663867717114,44128.07658526382
Deaths,Female,40 to 44,stroke,liverpool,3.0480254310930635,44128.0765852638
Deaths,Female,40 to 44,"tracheal, bronchus, and lung cancer",liverpool,3.2452460573063777,44128.07658526382
Deaths,Female,40 to 44,uterine cancer,liverpool,0.24807717755121375,44128.07658526378
Deaths,Female,45 to 49,all causes,liverpool,107.90841190500332,50016.70926341639
Deaths,Female,45 to 49,alzheimer's disease and other dementias,liverpool,0.34104536431000654,50016.709263416335
Deaths,Female,45 to 49,bladder cancer,liverpool,0.5778030572337538,50016.70926341634
Deaths,Female,45 to 49,breast cancer,liverpool,13.909041940662473,50016.70926341636
Deaths,Female,45 to 49,cardiovascular diseases,liverpool,15.124657687094555,50016.70926341636
Deaths,Female,45 to 49,chronic myeloid leukemia,liverpool,0.07410339620308301,50016.709263416335
Deaths,Female,45 to 49,chronic obstructive pulmonary disease,liverpool,2.406407770640216,50016.70926341634
Deaths,Female,45 to 49,colon and rectum cancer,liverpool,4.335643728028988,50016.709263416305
Deaths,Female,45 to 49,cyclist road injuries,liverpool,0.04414140154306528,50016.709263416335
Deaths,Female,45 to 49,diabetes mellitus type 2,liverpool,0.7967577744858411,50016.70926341637
Deaths,Female,45 to 49,esophageal cancer,liverpool,1.0082133884280697,50016.70926341632
Deaths,Female,45 to 49,ischemic heart disease,liverpool,6.122172166883526,50016.70926341633
Deaths,Female,45 to 49,kidney cancer,liverpool,0.8386694185544259,50016.709263416364
Deaths,Female,45 to 49,liver cancer,liverpool,0.8358659696044837,50016.70926341635
Deaths,Female,45 to 49,lower respiratory infections,liverpool,2.937140567579676,50016.709263416284
Deaths,Female,45 to 49,motor vehicle road injuries,liverpool,0.49082636367236693,50016.70926341633
Deaths,Female,45 to 49,motorcyclist road injuries,liverpool,0.05672462533939823,50016.70926341632
Deaths,Female,45 to 49,multiple myeloma,liverpool,0.37220173421069486,50016.7092634163
Deaths,Female,45 to 49,neoplasms,liverpool,48.86190809122827,50016.70926341633
Deaths,Female,45 to 49,other road injuries,liverpool,0.020367766066694288,50016.709263416364
Deaths,Female,45 to 49,other transport injuries,liverpool,0.043398182789920706,50016.7092634163
Deaths,Female,45 to 49,parkinson's disease,liverpool,0.10404395999958856,50016.70926341631
Deaths,Female,45 to 49,pedestrian road injuries,liverpool,0.31054740105907686,50016.70926341637
Deaths,Female,45 to 49,road injuries,liverpool,0.9226075576806018,50016.70926341637
Deaths,Female,45 to 49,stomach cancer,liverpool,1.438525829004793,50016.70926341633
Deaths,Female,45 to 49,stroke,liverpool,4.675293028473983,50016.7092634163
Deaths,Female,45 to 49,"tracheal, bronchus, and lung cancer",liverpool,7.434423477173141,50016.70926341641
Deaths,Female,45 to 49,uterine cancer,liverpool,0.5897454377676576,50016.70926341632
Deaths,Female,5 to 9,all causes,liverpool,3.4799520524841263,42751.91738898085
Deaths,Female,5 to 9,cardiovascular diseases,liverpool,0.13062058809814137,42751.917388980866
Deaths,Female,5 to 9,chronic myeloid leukemia,liverpool,0.0046059347388162685,42751.91738898088
Deaths,Female,5 to 9,chronic obstructive pulmonary disease,liverpool,0.019097955807767266,42751.91738898084
Deaths,Female,5 to 9,colon and rectum cancer,liverpool,0.009635456965680609,42751.9173889809
Deaths,Female,5 to 9,cyclist road injuries,liverpool,0.017489549762475826,42751.917388980866
